Verb,Prep
быть,
быть,в
взмокнуть,от
встряхнуть,
выдать,
выдвигаться,в направлении
вызвать,
выполнять,
выразить,
двигаться,синхронно
делаться,
довести,
достигнуть,в
замедлить,
заметить,
запомнить,
затруднять,
идти,
идти,в противоход к
изменяться,в направлении
изогнуться,
изучать,
изучаться,
истираться,при
калиброваться,по
копировать,
корректировать,
корректироваться,
корректироваться,посредством
корректироваться,с помощью
лежать,без
мешать,
мешать,при
наблюдать,
наблюдать,за
наблюдаться,
наладить,
начать,
начаться,
обеспечиваться,
ограничивать,
означать,
опустить,
открыть,
оторвать,
отработать,
отточить,
переваливаться,при
повторить,
повторяться,
поддерживать,
поддерживаться,
поднять,
показать,
получаться,
помогать,
преградить,
прекратить,
препятствовать,
привести,в
приводиться,в
прийти,в
приостановить,
приспособиться,к
продолжать,
произойти,
прокатиться,
просматриваться,
разговаривать,при
разорвать,
раскрыться,при
рассмешить,
сделать,
сидеть,без
сковывать,
скользить,в
скользить,по направлению
скорректировать,посредством
скорректировать,с помощью
следить,за
совершаться,
совершить,
сообщить,
способствовать,
тормозить,
увеличиться,
уйти,в направлении
указывать,на
ускорить,
ускориться,
