InfForm,Prep
абстрагировать,
быть,
вдуматься,в
вникнуть,в
возвращать,
возрасти,
выдавать,
выдать,
вычислить,
вычислять,
выяснить,
выяснять,
давать,
дать,
думать,над
есть,
зависеть,от
изменить,
изменять,
изменяться,
иметь,
иметься,
искать,по
истолковать,
наделиться,
наделяться,
настаивать,на
нести,
носить,
обсуждать,
обсуждаться,
объяснить,
объяснять,
объясняться,
описать,
определить,
определять,
определяться,
оценивать,
оценить,
перетолмачить,
повысить,
повышать,
полюбопытствовать,касательно
понимать,
понять,
появиться,
представлять,
представлять,собой
принадлежать,
разъясняться,
раскрывать,
раскрываться,
раскрыть,
расти,
расширяться,
реализоваться,в контексте со
соответствовать,по
соответствовать,
сохранить,
справиться,о
справляться,о
сужаться,
суживаться,
сузить,
существовать,
толковать,
трактовать,в соответствии с
узнать,о
указать,
указать,на
указывать,
указывать,на
уменьшиться,
упорядочивать,по
упорядочить,по
употребить,в
употреблять,в
уразумевать,
уразуметь,
установить,
уяснить,
уяснять,
