Verb,Prep
быть,
вдохновить,
вдохновиться,
взять,в качестве
взять,в
взять,для
взять,за
взять,
видеть,на
видеть,
влиять,
внести,
воодушевить,
воодушевляться,
даваться,
дать,в качестве
дать,
действовать,по
действовать,
делать,
доказывать,
думать,над
есть,
зажечь,
заразить,
идти,за
иллюстрироваться,
иметь,
иметься,
найти,
написать,на основе
обсудить,на
опираться,на
отсутствовать,
отыскать,
подать,
подобрать,
подыскать,
показать,в качестве
показать,на
показать,
последовать,
послужить,
поставить,в
пояснить,на
пояснить,
представлять,собой
привести,в качестве
привести,в
привести,
привлечь,в качестве
приводиться,
придумать,
придумывать,
проверить,на
проверить,
продемонстрировать,
проиллюстрировать,
разыскать,
рассмотреть,
решить,
свидетельствовать,
сделать,по
снабдить,
сопроводить,
сослаться,на
ставить,в
стать,
существовать,
считать,
считаться,
убедить,на
убедиться,на
убрать,
увлечь,
увлечься,
упоминаться,
упомянуть,
учиться,на
явить,
явиться,
