InfForm,Prep
быть,
быть,за
видеть,
возникать,
возникнуть,
восстанавливать,
восстановить,
вскрывать,
вскрыть,
высказываться,за
выявить,
выявлять,
выявляться,
выяснить,
выяснять,
выясняться,
доказать,
есть,
завязать,
завязывать,
замечать,
иметь,
иметься,
искать,
искаться,
исследовать,
классифицировать,с точки зрения
классифицироваться,с точки зрения
крепить,
наводить,
найти,
нарушать,
нарушить,
находить,
находиться,в
обвинять,в
обнаруживать,
обнаруживаться,
обнаружить,
обуславливать,
обусловливать,
определить,
определять,
определяться,
осветить,
ослабить,
ослаблять,
ослабляться,
оставаться,
оставить,
остаться,
отслеживать,
отслеживаться,
оцениваться,
поддерживать,
подозревать,в
показать,
показывать,
поставить,в
поучать,о
предполагать,
предполагаться,
прекратить,
прекращать,
проблематизировать,
прослеживать,
проявляться,
разрушать,
разрушить,
разрывать,
раскрывать,
раскрываться,
раскрыть,
распасться,
рваться,
следить,за
следить,
сохранять,
ставить,в
существовать,
терять,
увеличиться,
указать,на
укрепить,
укреплять,
укрепляться,
усиливаться,
устанавливать,
установить,
утратить,
чувствовать,
