Verb,Prep
аргументировать,с помощью
брать,в качестве
брать,в
брать,для
брать,
быть,
вдохновить,
вдохновиться,
вдохновлять,
вдохновляться,
взять,в качестве
взять,в
взять,для
взять,за
взять,
видеть,на
видеть,
влиять,
внести,
воодушевить,
воодушевлять,
воодушевляться,
давать,
даваться,
дать,в качестве
дать,
действовать,по
действовать,
делать,
демонстрировать,
доказывать,
думать,над
есть,
зажечь,
заражать,
заразить,
идти,за
иллюстрировать,
иллюстрироваться,
иметь,
иметься,
искать,
найти,
написать,на основе
обсудить,на
обсуждать,на
опираться,на
отсутствовать,
отыскать,
писать,на основе
подавать,
подать,
подобрать,
подыскать,
показать,в качестве
показать,на
показать,
показывать,
показывать,на
последовать,
послужить,
поставить,в
пояснить,на
пояснить,
пояснять,
представлять,собой
привести,в качестве
привести,в
привести,
привлекать,в качестве
привлечь,в качестве
приводить,в качестве
приводить,в
приводить,
приводиться,
придумать,
придумывать,
проверить,на
проверить,
продемонстрировать,
проиллюстрировать,
разыскать,
рассматривать,
рассмотреть,
решать,
решить,
свидетельствовать,
сделать,по
следовать,
слизнуть,
служить,
снабдить,
снабжать,
сопроводить,
сопровождать,
сослаться,на
ставить,в
становиться,
стать,
существовать,
считать,
считаться,
убедить,на
убедиться,на
убеждаться,на
убирать,
убрать,
увлечь,
увлечься,
упоминать,
упоминаться,
упомянуть,
учиться,на
явить,
явиться,
являть,
являться,
