InfForm,Prep
автоматизировать,
быть,
быть,в
взмокнуть,от
встряхивать,
встряхнуть,
выдать,
выдвигаться,в направлении
вызвать,
вызывать,
выполнять,
выражать,
выразить,
двигаться,синхронно
делать,
делаться,
довести,
достигнуть,в
замедлить,
заметить,
запомнить,
затруднять,
идти,
идти,в противоход к
избегать,при
изменяться,в направлении
изогнуться,
изучать,
изучаться,
истираться,при
калиброваться,по
копировать,
корректировать,посредством
корректировать,с помощью
корректировать,
корректироваться,
корректироваться,посредством
корректироваться,с помощью
лежать,без
мешать,
мешать,при
наблюдать,
наблюдать,за
наблюдаться,
наладить,
находиться,в
начать,
начаться,
обеспечиваться,
ограничивать,
означать,
опустить,
открывать,
открыть,
оторвать,
отрабатывать,
отработать,
оттачивать,
отточить,
переваливаться,при
повторить,
повторять,
повторяться,
поддерживать,
поддерживаться,
поднимать,
поднять,
показать,
показывать,
получаться,
помогать,
попадать,в противоход к
преградить,
преграждать,
прекратить,
прекращать,
препятствовать,
привести,в
приводить,в
приводиться,в
прийти,в
приостановить,
приспособиться,к
приходить,в
продолжать,
произойти,
происходить,
прокатиться,
просматриваться,
разговаривать,при
разорвать,
раскрыться,при
рассмешить,
сделать,
сидеть,без
сковывать,
скользить,в
скользить,по направлению
скорректировать,посредством
скорректировать,с помощью
следить,за
совершать,
совершаться,
совершить,
сообщать,
сообщить,
способствовать,
тормозить,
увеличиваться,
увеличиться,
уйти,в направлении
указывать,на
ускорить,
ускориться,
ускорять,
ускоряться,
фиксировать,
форсировать,
