InfForm,Prep
быть,за
видеть,
восстанавливать,
восстановить,
вскрывать,
вскрыть,
высказываться,за
выявить,
выявлять,
выяснить,
выяснять,
доказать,
завязать,
завязывать,
замечать,
иметь,
искать,
исследовать,
классифицировать,с точки зрения
классифицироваться,с точки зрения
крепить,
наводить,
найти,
нарушать,
нарушить,
находить,
находиться,в
обвинять,в
обнаруживать,
обнаружить,
определить,
определять,
осветить,
ослабить,
ослаблять,
оставить,
отслеживать,
поддерживать,
подозревать,в
показать,
показывать,
поставить,в
поучать,о
предполагать,
прекратить,
прекращать,
проблематизировать,
прослеживать,
разрушать,
разрушить,
разрывать,
раскрывать,
раскрыть,
следить,за
следить,
сохранять,
ставить,в
терять,
указать,на
укрепить,
укреплять,
устанавливать,
установить,
утратить,
чувствовать,
